provstate,Vacancy,iyear
Louisiana,63.3,2015
Maine,69.9,2015
Maryland,67.1,2015
Massachusetts,60.5,2015
Michigan,74.6,2015
Minnesota,70.1,2015
Mississippi,70.7,2015
Missouri,68.5,2015
Montana,66.4,2015
Nebraska,68.1,2015
Nevada,54.8,2015
New Hampshire,71.6,2015
New Jersey,64,2015
New Mexico,66.5,2015
New York,51.5,2015
North Carolina,65.2,2015
North Dakota,61.8,2015
Ohio,66.4,2015
Oklahoma,67.4,2015
Oregon,61.1,2015
Pennsylvania,69.6,2015
Rhode Island,58.9,2015
South Carolina,67.1,2015
South Dakota,70.1,2015
Tennessee,66.5,2015
Texas,61.9,2015
Utah,69.9,2015
Vermont,71.8,2015
Virginia,67.1,2015
Washington,62.6,2015
West Virginia,74.9,2015
Wisconsin,66.6,2015
Wyoming,69.9,2015
