Country,Year,Period,Label,Value
Nevada,1976,M01,1976 Jan,9.1
Nevada,1976,M02,1976 Feb,9.1
Nevada,1976,M03,1976 Mar,9
Nevada,1976,M04,1976 Apr,8.9
Nevada,1976,M05,1976 May,8.8
Nevada,1976,M06,1976 Jun,8.7
Nevada,1976,M07,1976 Jul,8.6
Nevada,1976,M08,1976 Aug,8.6
Nevada,1976,M09,1976 Sep,8.7
Nevada,1976,M10,1976 Oct,8.7
Nevada,1976,M11,1976 Nov,8.7
Nevada,1976,M12,1976 Dec,8.6
Nevada,1977,M01,1977 Jan,8.4
Nevada,1977,M02,1977 Feb,8.2
Nevada,1977,M03,1977 Mar,7.9
Nevada,1977,M04,1977 Apr,7.6
Nevada,1977,M05,1977 May,7.2
Nevada,1977,M06,1977 Jun,6.9
Nevada,1977,M07,1977 Jul,6.6
Nevada,1977,M08,1977 Aug,6.2
Nevada,1977,M09,1977 Sep,5.9
Nevada,1977,M10,1977 Oct,5.6
Nevada,1977,M11,1977 Nov,5.3
Nevada,1977,M12,1977 Dec,5.1
Nevada,1978,M01,1978 Jan,4.8
Nevada,1978,M02,1978 Feb,4.6
Nevada,1978,M03,1978 Mar,4.4
Nevada,1978,M04,1978 Apr,4.3
Nevada,1978,M05,1978 May,4.2
Nevada,1978,M06,1978 Jun,4.2
Nevada,1978,M07,1978 Jul,4.3
Nevada,1978,M08,1978 Aug,4.3
Nevada,1978,M09,1978 Sep,4.5
Nevada,1978,M10,1978 Oct,4.6
Nevada,1978,M11,1978 Nov,4.6
Nevada,1978,M12,1978 Dec,4.7
Nevada,1979,M01,1979 Jan,4.7
Nevada,1979,M02,1979 Feb,4.8
Nevada,1979,M03,1979 Mar,4.9
Nevada,1979,M04,1979 Apr,5
Nevada,1979,M05,1979 May,5
Nevada,1979,M06,1979 Jun,5.1
Nevada,1979,M07,1979 Jul,5.1
Nevada,1979,M08,1979 Aug,5.1
Nevada,1979,M09,1979 Sep,5
Nevada,1979,M10,1979 Oct,4.9
Nevada,1979,M11,1979 Nov,4.9
Nevada,1979,M12,1979 Dec,4.8
Nevada,1980,M01,1980 Jan,4.9
Nevada,1980,M02,1980 Feb,5.1
Nevada,1980,M03,1980 Mar,5.4
Nevada,1980,M04,1980 Apr,5.7
Nevada,1980,M05,1980 May,6.1
Nevada,1980,M06,1980 Jun,6.4
Nevada,1980,M07,1980 Jul,6.6
Nevada,1980,M08,1980 Aug,6.7
Nevada,1980,M09,1980 Sep,6.7
Nevada,1980,M10,1980 Oct,6.8
