State,RATE,Notes
"National Total",67.4000,1
"Median Value",70.2000,
"Alabama (14)",73.2000,
"Alaska (40)",66.4000,
"Arizona (38)",68.0000,
"Arkansas (33)",68.9000,
"California (48)",57.1000,
"Colorado (36)",68.3000,
"Connecticut (28)",70.0000,
"Delaware (17)",72.0000,
"District of Columbia (51)",41.9000,
"Florida (35)",68.4000,
"Georgia (30)",69.8000,
"Hawaii (49)",55.2000,
"Idaho (25)",70.5000,
"Illinois (39)",67.9000,
"Indiana (8)",74.9000,
"Iowa (6)",75.2000,
"Kansas (31)",69.3000,
"Kentucky (13)",73.4000,
"Louisiana (37)",68.1000,
"Maine (2)",76.5000,
"Maryland (29)",69.9000,
"Massachusetts (47)",59.9000,
"Michigan (1)",77.2000,
"Minnesota (4)",76.1000,
"Mississippi (6)",75.2000,
"Missouri (10)",74.2000,
"Montana (26)",70.2000,
"Nebraska (26)",70.2000,
"Nevada (43)",64.0000,
"New Hampshire (32)",69.2000,
"New Jersey (41)",66.2000,
"New Mexico (12)",73.7000,
"New York (50)",53.4000,
"North Carolina (21)",71.1000,
"North Dakota (24)",70.7000,
"Ohio (19)",71.3000,
"Oklahoma (15)",72.7000,
"Oregon (42)",65.3000,
"Pennsylvania (9)",74.7000,
"Rhode Island (46)",61.5000,
"South Carolina (2)",76.5000,
"South Dakota (20)",71.2000,
"Tennessee (23)",70.9000,
"Texas (44)",63.8000,
"Utah (15)",72.7000,
"Vermont (34)",68.7000,
"Virginia (11)",73.9000,
"Washington (45)",63.6000,
"West Virginia (5)",75.9000,
"Wisconsin (18)",71.8000,
"Wyoming (22)",71.0000,

"Homeownership Rate (State) (2000)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2000"", (http://www.census.gov/hhes/www/housing/hvs/annual00/ann00t13.html)"
Notes:
"1. National Rate = 67.4%"
