State,RATE,Notes
"National Total",68.9000,1
"Median Value",71.2000,
"Alabama (3)",76.6000,
"Alaska (43)",66.0000,
"Arizona (27)",71.1000,
"Arkansas (37)",69.2000,
"California (49)",59.7000,
"Colorado (29)",71.0000,
"Connecticut (32)",70.5000,
"Delaware (6)",75.8000,
"District of Columbia (51)",45.8000,
"Florida (20)",72.4000,
"Georgia (41)",67.9000,
"Hawaii (48)",59.8000,
"Idaho (8)",74.2000,
"Illinois (30)",70.9000,
"Indiana (7)",75.0000,
"Iowa (11)",73.9000,
"Kansas (36)",69.5000,
"Kentucky (23)",71.6000,
"Louisiana (19)",72.5000,
"Maine (11)",73.9000,
"Maryland (25)",71.2000,
"Massachusetts (45)",63.4000,
"Michigan (5)",76.4000,
"Minnesota (4)",76.5000,
"Mississippi (2)",78.8000,
"Missouri (22)",72.3000,
"Montana (33)",70.4000,
"Nebraska (34)",70.2000,
"Nevada (45)",63.4000,
"New Hampshire (10)",74.0000,
"New Jersey (35)",70.1000,
"New Mexico (24)",71.4000,
"New York (50)",55.9000,
"North Carolina (30)",70.9000,
"North Dakota (38)",68.5000,
"Ohio (15)",73.3000,
"Oklahoma (17)",72.9000,
"Oregon (40)",68.2000,
"Pennsylvania (15)",73.3000,
"Rhode Island (47)",63.1000,
"South Carolina (11)",73.9000,
"South Dakota (39)",68.4000,
"Tennessee (20)",72.4000,
"Texas (44)",65.9000,
"Utah (11)",73.9000,
"Vermont (8)",74.2000,
"Virginia (25)",71.2000,
"Washington (42)",67.6000,
"West Virginia (1)",81.3000,
"Wisconsin (27)",71.1000,
"Wyoming (18)",72.8000,

"Homeownership Rate (State) (2005)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2005"", (http://www.census.gov/hhes/www/housing/hvs/annual05/ann05t13.html)"
Notes:
"1. National Rate = 68.9%"
