State,RATE,Notes
"National Total",66.8000,1
"Median Value",70.3000,
"Alabama (7)",74.8000,
"Alaska (38)",66.4000,
"Arizona (39)",66.3000,
"Arkansas (40)",65.6000,
"California (49)",55.7000,
"Colorado (33)",68.1000,
"Connecticut (31)",69.1000,
"Delaware (17)",71.6000,
"District of Columbia (51)",40.0000,
"Florida (34)",67.6000,
"Georgia (19)",71.3000,
"Hawaii (48)",56.6000,
"Idaho (26)",70.3000,
"Illinois (36)",67.1000,
"Indiana (12)",72.9000,
"Iowa (10)",73.9000,
"Kansas (35)",67.5000,
"Kentucky (10)",73.9000,
"Louisiana (37)",66.8000,
"Maine (1)",77.4000,
"Maryland (30)",69.6000,
"Massachusetts (47)",60.3000,
"Michigan (3)",76.5000,
"Minnesota (4)",76.1000,
"Mississippi (6)",74.9000,
"Missouri (12)",72.9000,
"Montana (25)",70.6000,
"Nebraska (21)",70.9000,
"Nevada (44)",63.7000,
"New Hampshire (27)",70.2000,
"New Jersey (42)",64.5000,
"New Mexico (14)",72.6000,
"New York (50)",52.8000,
"North Carolina (16)",71.7000,
"North Dakota (28)",70.1000,
"Ohio (23)",70.7000,
"Oklahoma (18)",71.5000,
"Oregon (43)",64.3000,
"Pennsylvania (5)",75.2000,
"Rhode Island (46)",60.6000,
"South Carolina (2)",77.1000,
"South Dakota (23)",70.7000,
"Tennessee (15)",71.9000,
"Texas (45)",62.9000,
"Utah (9)",74.7000,
"Vermont (31)",69.1000,
"Virginia (20)",71.2000,
"Washington (41)",64.8000,
"West Virginia (7)",74.8000,
"Wisconsin (21)",70.9000,
"Wyoming (29)",69.8000,

"Homeownership Rate (State) (1999)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 1999"" (http://www.census.gov/hhes/www/housing/hvs/annual99/ann99t13.html)"
Notes:
"1. National Rate = 66.8%"
