State,RATE,Notes
"National Total",67.8000,1
"Median Value",70.4000,
"Alabama (15)",73.0000,
"Alaska (41)",66.4000,
"Arizona (33)",69.1000,
"Arkansas (35)",68.9000,
"California (49)",57.5000,
"Colorado (34)",69.0000,
"Connecticut (23)",70.7000,
"Delaware (2)",76.2000,
"District of Columbia (51)",44.1000,
"Florida (21)",71.1000,
"Georgia (38)",68.2000,
"Hawaii (48)",59.1000,
"Idaho (6)",75.0000,
"Illinois (35)",68.9000,
"Indiana (8)",74.4000,
"Iowa (9)",74.0000,
"Kansas (37)",68.8000,
"Kentucky (16)",72.8000,
"Louisiana (12)",73.5000,
"Maine (10)",73.9000,
"Maryland (24)",70.6000,
"Massachusetts (44)",65.7000,
"Michigan (4)",75.9000,
"Minnesota (14)",73.1000,
"Mississippi (5)",75.4000,
"Missouri (20)",71.4000,
"Montana (30)",70.3000,
"Nebraska (31)",69.6000,
"Nevada (47)",63.6000,
"New Hampshire (6)",75.0000,
"New Jersey (39)",67.3000,
"New Mexico (26)",70.4000,
"New York (50)",55.0000,
"North Carolina (32)",69.4000,
"North Dakota (40)",66.6000,
"Ohio (22)",70.8000,
"Oklahoma (26)",70.4000,
"Oregon (42)",66.2000,
"Pennsylvania (18)",72.6000,
"Rhode Island (46)",64.5000,
"South Carolina (10)",73.9000,
"South Dakota (26)",70.4000,
"Tennessee (19)",71.7000,
"Texas (45)",65.5000,
"Utah (2)",76.2000,
"Vermont (16)",72.8000,
"Virginia (24)",70.6000,
"Washington (42)",66.2000,
"West Virginia (1)",77.8000,
"Wisconsin (26)",70.4000,
"Wyoming (13)",73.3000,

"Homeownership Rate (State) (2008)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2008"", (http://www.census.gov/hhes/www/housing/hvs/annual08/ann08ind.html)"
Notes:
"1. National Rate = 67.8%"
