State,RATE,Notes
"National Total",69.0000,1
"Median Value",71.7000,
"Alabama (2)",78.0000,
"Alaska (42)",67.2000,
"Arizona (40)",68.7000,
"Arkansas (37)",69.1000,
"California (49)",59.7000,
"Colorado (30)",71.1000,
"Connecticut (26)",71.7000,
"Delaware (3)",77.3000,
"District of Columbia (51)",45.6000,
"Florida (23)",72.2000,
"Georgia (32)",70.9000,
"Hawaii (48)",60.6000,
"Idaho (12)",73.7000,
"Illinois (20)",72.7000,
"Indiana (7)",75.8000,
"Iowa (17)",73.2000,
"Kansas (35)",69.9000,
"Kentucky (14)",73.3000,
"Louisiana (33)",70.6000,
"Maine (10)",74.7000,
"Maryland (24)",72.1000,
"Massachusetts (46)",63.8000,
"Michigan (4)",77.1000,
"Minnesota (5)",76.4000,
"Mississippi (11)",74.0000,
"Missouri (21)",72.4000,
"Montana (21)",72.4000,
"Nebraska (29)",71.2000,
"Nevada (44)",65.7000,
"New Hampshire (14)",73.3000,
"New Jersey (39)",68.8000,
"New Mexico (28)",71.5000,
"New York (50)",54.8000,
"North Carolina (36)",69.8000,
"North Dakota (34)",70.0000,
"Ohio (18)",73.1000,
"Oklahoma (30)",71.1000,
"Oregon (38)",69.0000,
"Pennsylvania (8)",74.9000,
"Rhode Island (47)",61.5000,
"South Carolina (6)",76.2000,
"South Dakota (41)",68.5000,
"Tennessee (27)",71.6000,
"Texas (45)",65.5000,
"Utah (8)",74.9000,
"Vermont (25)",72.0000,
"Virginia (13)",73.4000,
"Washington (43)",66.0000,
"West Virginia (1)",80.3000,
"Wisconsin (14)",73.3000,
"Wyoming (19)",72.8000,

"Homeownership Rate (State) (2004)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2004"", (http://www.census.gov/hhes/www/housing/hvs/annual04/ann04t13.html)"
Notes:
"1. National Rate = 69.0%"
