State,RATE,Notes
"National Total",66.3000,1
"Median Value",69.4000,
"Alabama (10)",72.9000,
"Alaska (38)",66.3000,
"Arizona (41)",64.3000,
"Arkansas (35)",66.7000,
"California (48)",56.0000,
"Colorado (39)",65.2000,
"Connecticut (27)",69.3000,
"Delaware (18)",71.0000,
"District of Columbia (51)",40.3000,
"Florida (34)",66.9000,
"Georgia (17)",71.2000,
"Hawaii (49)",52.8000,
"Idaho (11)",72.6000,
"Illinois (31)",68.0000,
"Indiana (11)",72.6000,
"Iowa (13)",72.1000,
"Kansas (35)",66.7000,
"Kentucky (3)",75.1000,
"Louisiana (37)",66.6000,
"Maine (6)",74.6000,
"Maryland (29)",68.7000,
"Massachusetts (46)",61.3000,
"Michigan (7)",74.4000,
"Minnesota (2)",75.4000,
"Mississippi (3)",75.1000,
"Missouri (19)",70.7000,
"Montana (30)",68.6000,
"Nebraska (23)",69.9000,
"Nevada (45)",61.4000,
"New Hampshire (25)",69.6000,
"New Jersey (43)",63.1000,
"New Mexico (14)",71.3000,
"New York (49)",52.8000,
"North Carolina (14)",71.3000,
"North Dakota (31)",68.0000,
"Ohio (19)",70.7000,
"Oklahoma (24)",69.7000,
"Oregon (42)",63.4000,
"Pennsylvania (8)",73.9000,
"Rhode Island (47)",59.8000,
"South Carolina (1)",76.6000,
"South Dakota (33)",67.3000,
"Tennessee (14)",71.3000,
"Texas (44)",62.5000,
"Utah (9)",73.7000,
"Vermont (28)",69.1000,
"Virginia (26)",69.4000,
"Washington (40)",64.9000,
"West Virginia (5)",74.8000,
"Wisconsin (21)",70.1000,
"Wyoming (22)",70.0000,

"Homeownership Rate (State) (1998)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 1998"" (http://www.census.gov/hhes/www/housing/hvs/annual98/ann98t13.html)"
Notes:
"1. National Rate = 66.3%"
