State,RATE,Notes
"National Total",67.4000,1
"Median Value",70.1000,
"Alabama (9)",74.1000,
"Alaska (40)",66.8000,
"Arizona (34)",68.9000,
"Arkansas (35)",68.5000,
"California (49)",57.0000,
"Colorado (36)",68.4000,
"Connecticut (23)",70.5000,
"Delaware (2)",76.5000,
"District of Columbia (51)",44.9000,
"Florida (21)",70.9000,
"Georgia (38)",67.4000,
"Hawaii (48)",59.5000,
"Idaho (4)",75.5000,
"Illinois (32)",69.1000,
"Indiana (16)",72.0000,
"Iowa (14)",72.4000,
"Kansas (38)",67.4000,
"Kentucky (19)",71.2000,
"Louisiana (18)",71.9000,
"Maine (11)",74.0000,
"Maryland (29)",69.6000,
"Massachusetts (45)",65.1000,
"Michigan (6)",74.5000,
"Minnesota (13)",72.9000,
"Mississippi (4)",75.5000,
"Missouri (16)",72.0000,
"Montana (22)",70.7000,
"Nebraska (25)",70.2000,
"Nevada (47)",62.4000,
"New Hampshire (3)",76.0000,
"New Jersey (41)",65.9000,
"New Mexico (32)",69.1000,
"New York (50)",54.4000,
"North Carolina (26)",70.1000,
"North Dakota (42)",65.7000,
"Ohio (27)",69.7000,
"Oklahoma (29)",69.6000,
"Oregon (37)",68.2000,
"Pennsylvania (15)",72.2000,
"Rhode Island (46)",62.9000,
"South Carolina (7)",74.4000,
"South Dakota (29)",69.6000,
"Tennessee (20)",71.1000,
"Texas (44)",65.4000,
"Utah (9)",74.1000,
"Vermont (8)",74.3000,
"Virginia (27)",69.7000,
"Washington (43)",65.5000,
"West Virginia (1)",78.7000,
"Wisconsin (24)",70.4000,
"Wyoming (12)",73.8000,

"Homeownership Rate (State) (2009)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2009"" (http://www.census.gov/hhes/www/housing/hvs/annual09/ann09ind.html)"
Notes:
"1. National Rate = 67.4%"
