State,RATE,Notes
"National Total",65.7000,1
"Median Value",68.1000,
"Alabama (13)",71.3000,
"Alaska (32)",67.2000,
"Arizona (41)",63.0000,
"Arkansas (35)",66.7000,
"California (48)",55.7000,
"Colorado (39)",64.1000,
"Connecticut (26)",68.1000,
"Delaware (20)",69.2000,
"District of Columbia (51)",42.5000,
"Florida (33)",66.9000,
"Georgia (14)",70.9000,
"Hawaii (50)",50.2000,
"Idaho (12)",72.3000,
"Illinois (26)",68.1000,
"Indiana (5)",74.1000,
"Iowa (10)",72.7000,
"Kansas (37)",66.5000,
"Kentucky (2)",75.0000,
"Louisiana (38)",66.4000,
"Maine (3)",74.9000,
"Maryland (15)",70.5000,
"Massachusetts (43)",62.3000,
"Michigan (8)",73.3000,
"Minnesota (1)",75.4000,
"Mississippi (7)",73.7000,
"Missouri (15)",70.5000,
"Montana (31)",67.5000,
"Nebraska (35)",66.7000,
"Nevada (45)",61.2000,
"New Hampshire (34)",66.8000,
"New Jersey (40)",63.1000,
"New Mexico (19)",69.6000,
"New York (49)",52.6000,
"North Carolina (17)",70.2000,
"North Dakota (26)",68.1000,
"Ohio (22)",69.0000,
"Oklahoma (23)",68.5000,
"Oregon (46)",61.0000,
"Pennsylvania (8)",73.3000,
"Rhode Island (47)",58.7000,
"South Carolina (5)",74.1000,
"South Dakota (29)",67.6000,
"Tennessee (17)",70.2000,
"Texas (44)",61.5000,
"Utah (11)",72.5000,
"Vermont (21)",69.1000,
"Virginia (24)",68.4000,
"Washington (42)",62.9000,
"West Virginia (4)",74.6000,
"Wisconsin (25)",68.3000,
"Wyoming (29)",67.6000,

"Homeownership Rate (State) (1997)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 1997"" (http://www.census.gov/hhes/www/housing/hvs/annual97/ann97t13.html)"
Notes:
"1. National Rate = 65.7%"
