State,RATE,Notes
"National Total",68.8000,1
"Median Value",71.3000,
"Alabama (8)",74.2000,
"Alaska (42)",67.2000,
"Arizona (23)",71.6000,
"Arkansas (29)",70.8000,
"California (48)",60.2000,
"Colorado (34)",70.1000,
"Connecticut (27)",71.1000,
"Delaware (3)",76.8000,
"District of Columbia (51)",45.9000,
"Florida (18)",72.4000,
"Georgia (38)",68.5000,
"Hawaii (49)",59.9000,
"Idaho (7)",75.1000,
"Illinois (31)",70.4000,
"Indiana (8)",74.2000,
"Iowa (12)",74.0000,
"Kansas (35)",70.0000,
"Kentucky (22)",71.7000,
"Louisiana (25)",71.3000,
"Maine (6)",75.3000,
"Maryland (17)",72.6000,
"Massachusetts (46)",65.2000,
"Michigan (2)",77.4000,
"Minnesota (5)",75.6000,
"Mississippi (4)",76.2000,
"Missouri (21)",71.9000,
"Montana (36)",69.5000,
"Nebraska (41)",67.6000,
"Nevada (45)",65.7000,
"New Hampshire (8)",74.2000,
"New Jersey (37)",69.0000,
"New Mexico (20)",72.0000,
"New York (50)",55.7000,
"North Carolina (32)",70.2000,
"North Dakota (39)",68.3000,
"Ohio (19)",72.1000,
"Oklahoma (23)",71.6000,
"Oregon (40)",68.1000,
"Pennsylvania (16)",73.2000,
"Rhode Island (47)",64.6000,
"South Carolina (8)",74.2000,
"South Dakota (30)",70.6000,
"Tennessee (25)",71.3000,
"Texas (44)",66.0000,
"Utah (15)",73.5000,
"Vermont (12)",74.0000,
"Virginia (27)",71.1000,
"Washington (43)",66.7000,
"West Virginia (1)",78.4000,
"Wisconsin (32)",70.2000,
"Wyoming (14)",73.7000,

"Homeownership Rate (State) (2006)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2006"", (http://www.census.gov/hhes/www/housing/hvs/annual06/ann06t13.html)"
Notes:
"1. National Rate = 68.8%"
