State,RATE,Notes
"National Total",68.1000,1
"Median Value",70.4000,
"Alabama (14)",73.3000,
"Alaska (41)",66.6000,
"Arizona (25)",70.4000,
"Arkansas (33)",69.5000,
"California (49)",58.3000,
"Colorado (31)",70.2000,
"Connecticut (28)",70.3000,
"Delaware (2)",76.8000,
"District of Columbia (51)",47.2000,
"Florida (18)",71.8000,
"Georgia (38)",67.6000,
"Hawaii (48)",60.1000,
"Idaho (5)",74.5000,
"Illinois (34)",69.4000,
"Indiana (9)",73.8000,
"Iowa (11)",73.7000,
"Kansas (34)",69.4000,
"Kentucky (16)",72.9000,
"Louisiana (20)",71.5000,
"Maine (6)",74.3000,
"Maryland (19)",71.7000,
"Massachusetts (46)",64.3000,
"Michigan (3)",76.4000,
"Minnesota (13)",73.5000,
"Mississippi (8)",74.0000,
"Missouri (25)",70.4000,
"Montana (39)",67.3000,
"Nebraska (37)",68.2000,
"Nevada (47)",63.3000,
"New Hampshire (9)",73.8000,
"New Jersey (36)",68.3000,
"New Mexico (20)",71.5000,
"New York (50)",55.9000,
"North Carolina (28)",70.3000,
"North Dakota (42)",66.0000,
"Ohio (23)",71.4000,
"Oklahoma (28)",70.3000,
"Oregon (44)",65.7000,
"Pennsylvania (16)",72.9000,
"Rhode Island (45)",64.9000,
"South Carolina (7)",74.1000,
"South Dakota (25)",70.4000,
"Tennessee (31)",70.2000,
"Texas (42)",66.0000,
"Utah (4)",74.9000,
"Vermont (11)",73.7000,
"Virginia (20)",71.5000,
"Washington (40)",66.8000,
"West Virginia (1)",77.6000,
"Wisconsin (24)",70.5000,
"Wyoming (15)",73.2000,

"Homeownership Rate (State) (2007)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2007"", (http://www.census.gov/hhes/www/housing/hvs/annual07/ann7t13.html)"
Notes:
"1. National Rate = 68.1%"
