State,RATE,Notes
"National Total",66.9000,1
"Median Value",69.5000,
"Alabama (10)",73.2000,
"Alaska (42)",65.7000,
"Arizona (39)",66.6000,
"Arkansas (35)",67.9000,
"California (48)",56.1000,
"Colorado (33)",68.5000,
"Connecticut (20)",70.8000,
"Delaware (5)",74.7000,
"District of Columbia (51)",45.6000,
"Florida (27)",69.3000,
"Georgia (37)",67.1000,
"Hawaii (48)",56.1000,
"Idaho (13)",72.4000,
"Illinois (30)",68.8000,
"Indiana (15)",71.2000,
"Iowa (17)",71.1000,
"Kansas (36)",67.4000,
"Kentucky (24)",70.3000,
"Louisiana (22)",70.4000,
"Maine (7)",73.8000,
"Maryland (29)",68.9000,
"Massachusetts (43)",65.3000,
"Michigan (6)",74.5000,
"Minnesota (11)",72.6000,
"Mississippi (3)",74.8000,
"Missouri (15)",71.2000,
"Montana (34)",68.1000,
"Nebraska (22)",70.4000,
"Nevada (47)",59.7000,
"New Hampshire (2)",74.9000,
"New Jersey (40)",66.5000,
"New Mexico (32)",68.6000,
"New York (50)",54.5000,
"North Carolina (26)",69.5000,
"North Dakota (37)",67.1000,
"Ohio (25)",69.7000,
"Oklahoma (28)",69.2000,
"Oregon (41)",66.3000,
"Pennsylvania (14)",72.2000,
"Rhode Island (46)",62.8000,
"South Carolina (3)",74.8000,
"South Dakota (21)",70.6000,
"Tennessee (18)",71.0000,
"Texas (43)",65.3000,
"Utah (12)",72.5000,
"Vermont (8)",73.6000,
"Virginia (31)",68.7000,
"Washington (45)",64.4000,
"West Virginia (1)",79.0000,
"Wisconsin (18)",71.0000,
"Wyoming (9)",73.4000,

"Homeownership Rate (State) (2010)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2010"", (http://www.census.gov/hhes/www/housing/hvs/annual10/ann10ind.html)"
Notes:
"1. National Rate = 66.9%"
